Hit	POS	Lemma
dichtenden	ADJA	dichtend
dickbärtiger	ADJA	dickbärtig
dickbäuchige	ADJA	dickbäuchig
dicke	ADJA	dick
dicke	ADJA	dick
dicken	ADJA	dick
dicken	ADJA	dick
dicker	ADJA	dick
Dicker	NN	Dicke
dickere	ADJA	dick
dickliche	ADJA	dicklich
dickste	ADJA	dick
dicksten	ADJA	dick
dienende	ADJA	dienend
dienenden	ADJA	dienend
dienenden	ADJA	dienend
dieselbe	PDAT	derselbe
dikkkkkkkkkkker	NN	dick
diktierenden	ADJA	diktierend
dionysischen	ADJA	dionysisch
diplomatische	ADJA	diplomatisch
distinguierte	ADJA	distinguiert
distinguierten	ADJA	distinguiert
Div.	ADJA	DISCARD
dortigen	ADJA	dortig
douteusen	NN	DISCARD
drahtige	ADJA	drahtig
dralle	ADJA	drall
Drei	NN	DISCARD
dreier	ADJA	dreier
dreinblickende	ADJA	dreinblickend
dreinschauende	ADJA	dreinschauend
dreißigjährige	ADJA	n-jährig
dreißigjährigen	ADJA	n-jährig
dringende	ADJA	dringend
dritte	ADJA	dritt
dritte	ADJA	dritt
Dritte	NN	Dritte
drittem	ADJA	dritt
dritten	ADJA	dritt
dritten	ADJA	dritt
dritter	ADJA	dritt
dröhnende	ADJA	dröhnend
drolliger	ADJA	drollig
dubiosen	ADJA	dubios
duldenden	ADJA	duldend
dumme	ADJA	dumm
dumme	ADJA	dumm
dümmsten	ADJA	dumm
dunkeläugige	ADJA	dunkeläugig
dunkeläugigen	ADJA	dunkeläugig
dunkelblonde	ADJA	dunkelblond
dunkle	ADJA	dunkel
Dunklen	NN	dunkel
dünne	ADJA	dünn
dünne	ADJA	dünn
durchdrungene	ADJA	durchdrungen
Durchlauchtigsten	NN	durchlautigst
durchmachenden	ADJA	durchmachend
dürre	ADJA	dürr
dürren	ADJA	dürr
durstigen	ADJA	durstig
düsteren	ADJA	düster
Eahna	NE	DISCARD
echte	ADJA	echt
echte	ADJA	echt
echten	ADJA	echt
echter	ADJA	echt
edel	ADJD	edel
edeln	ADJA	edel
edle	ADJA	edel
edle	ADJA	edel
edlen	ADJA	edel
edlen	ADJA	edel
edler	ADJA	edel
edler	ADJD	edel
eene	ADJA	DISCARD
ehebrecherische	ADJA	ehebrecherisch
ehelichen	ADJA	ehelich
ehemaligen	ADJA	ehemalig
ehrbare	ADJA	ehrbar
ehrbaren	ADJA	ehrbar
ehrbarer	ADJA	ehrbar
ehrenhafte	ADJA	ehrenhaft
ehrenhafte	ADJA	ehrenhaft
ehrenhafter	ADJA	ehrenhaft
ehrenhaftesten	ADJA	ehrenhaft
ehrenwerter	ADJA	ehrenwert
ehrgeizige	ADJA	ehrgeizig
ehrgeizigen	ADJA	ehrgeizig
ehrgeizigen	ADJA	ehrgeizig
ehrliche	ADJA	ehrlich
ehrliche	ADJA	ehrlich
ehrlichen	ADJA	ehrlich
ehrsame	ADJA	ehrsam
ehrwürdiger	ADJA	ehrwürdig
Eichhörnchenartiger	NN	eichhörnchenartig
eifersüchtigen	ADJA	eifersüchtig
eifersüchtigen	ADJA	eifersüchtig
eifrige	ADJA	eifrig
eigenartigen	ADJA	eigenartig
eigene	ADJA	eigen
eigene	ADJA	eigen
eigenen	ADJA	eigen
eigenen	ADJA	eigen
eigener	ADJA	eigen
eigentümliche	ADJA	eigentümlich
eigentümlichsten	ADJA	eigentümlich
eigne	ADJA	eigen
eilende	ADJA	eilend
eiligen	ADJA	eilig
einarmige	ADJA	einarmig
einfache	ADJA	einfach
einfache	ADJA	einfach
einfachen	ADJA	einfach
einfachen	ADJA	einfach
einfacher	ADJA	einfach
einfachste	ADJA	einfach
einfachsten	ADJA	einfach
einfältiger	ADJA	einfältig
einflußreiche	ADJA	einflussreich
einflussreichen	ADJA	einflussreich
einflußreichen	ADJA	einflussreich
einflußreicher	ADJA	einflussreich
einflußreichsten	ADJA	einflussreich
eingeborene	ADJA	eingeboren
eingeborenen	ADJA	eingeboren
eingesetzten	ADJA	eingesetzt
eingestellte	ADJA	eingestellt
eingetragene	ADJA	eingetragen
eingetroffenen	ADJA	eingetroffen
einheimische	ADJA	einheimisch
einheimischen	ADJA	einheimisch
einsame	ADJA	einsam
einsame	ADJA	einsam
einsamen	ADJA	einsam
einsamer	ADJA	einsam
Einsamer	NN	einsam
einsatzfähigen	ADJA	einsatzfähig
einsichtige	ADJA	einsichtig
einsichtigen	ADJA	einsichtig
einsichtiger	ADJA	einsichtig
einsichtsvolle	ADJA	einsichtsvoll
einsichtsvollen	ADJA	einsichtsvoll
einsichtsvoller	NN	einsichtsvoll
einstige	ADJA	einstig
eintretende	ADJA	eintretend
eintretenden	ADJA	eintretend
einundzwanzigjährige	ADJA	n-jährig
einzelne	ADJA	einzeln
einzelne	ADJA	einzeln
einzelnen	ADJA	einzeln
einzelnen	ADJA	einzeln
einzelner	ADJA	einzeln
einzelner	ADJA	einzeln
Einzelstehende	NN	einzelstehend
einziehenden	ADJA	einziehend
einzigartige	ADJA	einzigartig
einzige	ADJA	einzig
