Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
2246;durch metaphorische/ Figurliche vnd frembde eingefurte   ;Glosierung;/ nach seinen eygenkoepffige_ erdichten Troemen/   g;WMD-1560-KT-neu2.txt;WMD;1560;KT;neu2.txt;NA;Glossierung;NA;NA;JA;NA;SG;NA;PREP_ADJ_NOM;JA;NA;eingefuehrt;NA;KEIN;durch;NA
2231;vngereimpte/ falsche/   Sophistische vnd nichtige ;Glosieru_g; vnd deutung zu^o verdunckelen/   Dieselbig doch e;WMD-1560-KT-neu2.txt;WMD;1560;KT;neu2.txt;NA;Glossierung;NA;NA;JA;NA;SG;NA;ADJ_NOM;NEIN;NA;nichtig;NA;KEIN;NA;NA
1758;rer angebohrnenWohlredenheit  die hierzu gehoerige ;Glueckwuenschung;  dem Gebrauch nach ablegen :  Wann nun die suesse ;OOBD-1680-KT-110.txt;OOBD;1680;KT;110.txt;NA;Glueckwuenschung;NA;NA;NEIN;NA;SG;NEIN;DET_ADJ_NOM;NEIN;NA;hierzugehoerig;NA;b;NA;NA
3348;igen *Reformat*ionssucht.  8. Einer unverschaemten ;gutheissung; der Pietistischen Frommkeit/ und aller Pietistere;WOBD-1710-KT-neu.txt;WOBD;1710;KT;neu.txt;NA;Gutheissung;NA;NA;NEIN;gut;SG;NEIN;DET_ADJ_NOM_GEN;NEIN;NA;unverschaemt;NA;u;NA;NA
2733;damit das haubt geweschen  ist guot wider die  ;har aussfallunge;  genant Alopicia.   <h1>Knoblauch.</h1>  <h1>Das ;WOBD-1530-ST-023.txt;WOBD;1530;ST;023.txt;NA;Haarausfallung;NA;NA;NEIN;NA;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;KEIN;wider;NA
505;el moeglich/ ein Beysitzer/ vmb wechsels weiss/ bey ;haltung; der nachgericht Persoenlich seyn solle/ damit die ;NOBD-1620-ST-082.txt;NOBD;1620;ST;082.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;bei;NA
284;rckt/  vnd verstanden wuerdt (Darúmb wir dann alle in;haltung; solchs Eua_gelischen capitels erzelen vn_ erklere;NOBD-1530-KT-027.txt;NOBD;1530;KT;027.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;in;NA
3112;in einem Schreiben an Paulinum/  *(b) dass man die ;Haltung; des Abendmahls zuvor gebetet habe/ ehe dann man d;WOBD-1680-KT-113.txt;WOBD;1680;KT;113.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
1273;gebott gottes haltett[sic!] aber not ist das dise ;haltung; der gebot  gereiniget werd mit einer luteren mein;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;DET_NOM_GEN;NEIN;NA;NA;postnom;DEM;NA;NA
1264;s/ ist ein zeichen d[er] goetliche_ lieby. Nit das ;haltu_g;  der goetlichn_ gebott vn_ der angenome_  geluebd/ ;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1266;b hat. Das ist so vil daz die goetlich lieb wuerckt ;haltu_g; der gebott gottes. Ware liebi zuo gott ist nit an;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1267;d ouch hatt gemeldett.  Aber das and[er]. daz ist ;haltu_g; siner gebott  das selb volget hernach/ als ir geh;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1272;y getzuegen mitt denen der  lerer hie beweisset das ;haltu_g; der gebot  gottes vnd auch der wilig vffgeno_mnen;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
