File	Title	Author	Texttype	Year
kortum_jobsiade02_1799_minimal	Die Jobsiade	Carl Arnold Kortum	Belletristik	1799
kosegarten_poesieen02_1798_minimal	Poesieen	Ludwig Gotthard Kosegarten	Belletristik	1798
krafft_landwirthschaft03_1876_minimal	Lehrbuch der Landwirthschaft auf wissenschaftlicher und praktischer Grundlage	Guido Krafft	Wissenschaft	1876
krueger_weltweisheit_1746_minimal	Geschichte der Erde in den allerältesten Zeiten	Johann Gottlob Krüger	Wissenschaft	1746
kunckel_glasmacher_1679_minimal	Ars Vitraria Experimentalis, Oder Vollkommene Glasmacher-Kunst/ Lehrende [...] Die allerkurtz-bündigsten Manieren/ das reineste Chrystall-Glas; alle gefärbte oder tingirte Gläser; künstliche Edelstein oder Flüsse; Amausen/ oder Schmeltze; Doubleten; Spiegeln/ das Tropff-Glas; die schönste Ultramarin, Lacc- und andere nützliche Mahler-Farben; Jngleichen wie die Saltze zu den allerreinesten Chrystallinen Gut/ nach der besten Weise an allen Orten Deutschlands mit geringer Müh und Unkosten copieus und compendieus zu machen/ auch wie das Glas zu mehrer Perfection und Härte zu bringen	Johannes Kunckel	Wissenschaft	1679
lambert_organon02_1764_minimal	Neues Organon	Johann Heinrich Lambert	Wissenschaft	1764
lange_schachspiel_1856_minimal	Lehrbuch des Schachspiels	Max Lange	Gebrauchsliteratur	1856
laukhard_leben02_1792_minimal	F. C. Laukhards Leben und Schicksale	Friedrich Christian Laukhard	Belletristik	1792
lessing_fabeln_1759_minimal	Fabeln	Gotthold Ephraim Lessing	Belletristik	1759
lichtenberg_timorus_1773_minimal	Timorus, das ist, Vertheidigung zweyer Israeliten, die durch die Kräftigkeit der Lavaterischen Beweisgründe und der Göttingischen Mettwürste bewogen den wahren Glauben angenommen haben	Georg Christoph Lichtenberg	Gebrauchsliteratur	1773
liliencron_adjutantenritte_1883_minimal	Adjutantenritte und andere Gedichte	Detlev von Liliencron	Belletristik	1883
littrow_weltsystem03_1836_minimal	Die Wunder des Himmels, oder gemeinfaßliche Darstellung des Weltsystems	Joseph Johann von Littrow	Gebrauchsliteratur	1836
loehe_predigt_1873_minimal	Erste Predigt zu Neuendettelsau	Wilhelm Löhe	Gebrauchsliteratur	1873
loescher_historie_1705_minimal	Historie Des Römischen Huren-Regiments Der Theodoræ und Maroziæ	Valentin Ernst Löscher	Wissenschaft	1705
lohenstein_ibrahim_1673_minimal	Ibrahim Sultan	Daniel Casper von Lohenstein	Belletristik	1673
lucius_canaan_1731_minimal	Das Schweitzerische Von Milch und Honig fliessende Canaan	Samuel Lucius	Gebrauchsliteratur	1731
lucius_warnung_1747_minimal	Warnung An Die liebe Jugend, Vor der schrecklichen Gefahr Der mannigfaltigen Verführung zum Bösen	Samuel Lutz	Gebrauchsliteratur	1747
marx_kapital01_1867_minimal	Das Kapital	Karl Marx	Wissenschaft	1867
marx_manifestws_1848_minimal	Manifest der Kommunistischen Partei	Karl Marx	Gebrauchsliteratur	1848
milichius_1617_minimal	Dominus abstulit. Das ist: Wer doch die lieben Kinder durch den Zeitlichen todt von den Eltern abfodere/ Nemlichen/ GOtt der HERRE/ vnd auß waß vrsachen. Bey dem Begräbnüß Des Edlen/ Ehrenvesten vnnd Wolbenambten Herren Caspar Latowsken/ von Kowallen auff Ottendorff	Daniel Milichius	Gebrauchsliteratur	1617
modestinus_unterredungen_1737_minimal	Freymüthige Doch Bescheidene Unterredungen Von Kirchen- Religions- Politischen- und Natur-Sachen	Theophilus Modestinus	Gebrauchsliteratur	1737
moerike_gedichte_1838_minimal	Gedichte	Eduard Mörike	Belletristik	1838
moerike_nolten01_1832_minimal	Maler Nolten	Eduard Mörike	Belletristik	1832
moeser_phantasien01_1775_minimal	Patriotische Phantasien	Justus Möser	Gebrauchsliteratur	1775
moeser_phantasien02_1776_minimal	Patriotische Phantasien	Justus Möser	Gebrauchsliteratur	1776
morhof_unterricht_1682_minimal	Unterricht Von Der Teutschen Sprache und Poesie/ deren Uhrsprung/ Fortgang und Lehrsätzen	Daniel Georg Morhof	Wissenschaft	1682
mosen_galerie_1844_minimal	Die Dresdener Gemälde-Galerie	Julius Mosen	Gebrauchsliteratur	1844
muehlpfort_gedichte01_1686_minimal	Teutsche Gedichte	Heinrich Mühlpfort	Belletristik	1686
mueller_festigkeitslehre_1886_minimal	Die neueren Methoden der Festigkeitslehre und der Statik der Baukonstruktionen	Heinrich F. B. Müller-Breslau	Wissenschaft	1886
mueller_hellenische03_1824_minimal	Die Dorier	Karl Otfried Müller	Wissenschaft	1824
mueller_waldhornist_1821_minimal	Sieben und siebzig Gedichte aus den hinterlassenen Papieren eines reisenden Waldhornisten	Wilhelm Müller	Belletristik	1821
mutach_underricht_1709_minimal	Substantzlicher Vnderricht/ Von Gerichts- und Rechts-Sachen	Samuel Mutach	Wissenschaft	1709
nietzsche_homer_1869_minimal	Homer und die klassische Philologie	Friedrich Nietzsche	Wissenschaft	1869
nimwegen_friede_1679_minimal	Käyserl. und Frantzösischer Friedensschluß	NA o. A.	Gebrauchsliteratur	1679
nn_kobald_1691_minimal	Eigentliche und warhafftige Erzehlung von dem Kobald/ Polter-Geist oder Hexen-Gespenst	unknown	Gebrauchsliteratur	1691
nn_marcipan_1632_minimal	Jahrgedächtnis der Leipzigischen Schlacht: Leipzigischer Studenten-Marcipan	unknown	Gebrauchsliteratur	1632
oa_artzneybuch_1688_minimal	Ein Koch- und Artzney-Buch	NA N. N.	Gebrauchsliteratur	1688
oa_cartouche_1722_minimal	Der berühmte Ertz-Dieb und Strassen-Räuber Cartouche, Derer Strassen-Räuber, Diebe und Spitz-Buben Ober-Haupt und Commandeur in Franckreich, in denen merckwürdigsten Begebenheiten seines bösen Lebens, endlichen aufrichtigen Bekäntnisses und schwehren Todes vorgestellet	NA N. N.	Belletristik	1722
oa_jubilaeum_1640_minimal	Jubilaeum Typographorum Lipsiensium Oder Zweyhundert-Jähriges Buchdrucker JubelFest	NA N. N.	Wissenschaft	1640
oa_policeij_1628_minimal	Der Statt Straßburg PoliceijOrdnung	NA N. N.	Wissenschaft	1628
oa_vierlinge_1616_minimal	Historische warhaffte Relation Von einem Christlichen Eheweibe im Marggraffthumb Oberlausitz vnd Budissimschen Kreisse im Dorffe Jazeba/ welche Vier lebendige vnd wol proportionirte Töchter den 10. Januarij, Anno 1616. zur Welt geboren/ so alle die H. Tauffe erlanget/ vnd etliche Wochen gelebet haben	NA N. N.	Gebrauchsliteratur	1616
oberwinder_buschoff_1892_minimal	Der Fall Buschoff	Heinrich Oberwinder	Gebrauchsliteratur	1892
obrecht_secreta_1617_minimal	Fünff Vnderschiedliche Secreta Politica Von Anstellung/ Erhaltung vnd Vermehrung guter Policey/ vnd von billicher/ rechtmässiger vnd nothwendiger Erhöhung/ eines jeden Regenten Jährlichen Gefällen vnd Einkommmen	Georg Obrecht	Gebrauchsliteratur	1617
